Time,Consumption,Type
2012-06-29,7.147178792400812,No holiday
2012-06-30,7.263888832074227,No holiday
2012-07-01,7.729535340343287,No holiday
2012-07-02,7.380763699792784,No holiday
2012-07-03,7.296767710977888,No holiday
2012-07-04,7.169180144693499,No holiday
2012-07-05,7.040231216728748,Early May bank holiday
2012-07-06,7.199834416989498,No holiday
2012-07-07,7.51027549293859,No holiday
2012-07-08,7.962324411226612,No holiday
2012-07-09,7.364158410167488,No holiday
2012-07-10,7.127793164266554,No holiday
2012-07-11,7.111522546769251,No holiday
2012-07-12,7.167762537781647,No holiday
2012-07-13,7.12172332105996,No holiday
2012-07-14,7.617881773903754,No holiday
2012-07-15,7.644362371303343,No holiday
2012-07-16,7.348829059070751,No holiday
2012-07-17,7.119304758430918,No holiday
2012-07-18,7.165857424787597,No holiday
2012-07-19,7.059819250651307,No holiday
2012-07-20,7.159480443641405,No holiday
2012-07-21,7.195314633880034,No holiday
2012-07-22,7.279711734221314,No holiday
2012-07-23,7.054161811621513,No holiday
2012-07-24,7.086840753073719,No holiday
2012-07-25,7.097062821366217,No holiday
2012-07-26,7.005044696955893,No holiday
2012-07-27,7.287038519545058,No holiday
2012-07-28,7.193149639502249,No holiday
2012-07-29,7.559771327871503,No holiday
2012-07-30,7.111238622528138,No holiday
2012-07-31,7.12481991538976,No holiday
2012-08-01,7.0646131818314695,No holiday
2012-08-02,7.000655446286592,No holiday
2012-08-03,7.011088547689532,No holiday
2012-08-04,7.167536028147606,No holiday
2012-08-05,7.6602115916859645,No holiday
2012-08-06,7.252733065883117,No holiday
2012-08-07,7.163786467782543,No holiday
2012-08-08,7.096305845796256,No holiday
2012-08-09,7.109474580523171,No holiday
2012-08-10,7.098691293219539,No holiday
2012-08-11,7.249219695683569,No holiday
2012-08-12,7.586210583636574,No holiday
2012-08-13,7.16551576971962,No holiday
2012-08-14,7.019729897013742,No holiday
2012-08-15,7.15143939488216,No holiday
2012-08-16,7.050971617307931,No holiday
2012-08-17,6.976726875474091,No holiday
2012-08-18,7.299024926559248,No holiday
2012-08-19,7.70841894125536,No holiday
2012-08-20,7.24443917891925,No holiday
2012-08-21,7.0557170333093,No holiday
2012-08-22,7.021388709471941,No holiday
2012-08-23,6.897781517079981,No holiday
2012-08-24,6.914134908839813,No holiday
2012-08-25,7.275899699751676,No holiday
2012-08-26,7.307611027027,No holiday
2012-08-27,7.267357657346083,Summer bank holiday
2012-08-28,7.0520588747184965,No holiday
2012-08-29,7.20669275637329,No holiday
2012-08-30,7.15663528356515,No holiday
2012-08-31,6.962206051497911,No holiday
2012-09-01,7.242366335588389,No holiday
