Time,Consumption,Type
2012-08-19,8.651786707728926,No holiday
2012-08-20,8.300565638999828,No holiday
2012-08-21,7.951839188910328,No holiday
2012-08-22,7.838495543283423,No holiday
2012-08-23,7.829688561237671,No holiday
2012-08-24,8.061440170662845,No holiday
2012-08-25,8.175039961457019,No holiday
2012-08-26,8.254326247249024,No holiday
2012-08-27,8.38993551899592,Summer bank holiday
2012-08-28,8.011003608988288,No holiday
2012-08-29,8.22861427616224,No holiday
2012-08-30,8.209244619545725,No holiday
2012-08-31,8.015831290996339,No holiday
2012-09-01,8.246336936550227,No holiday
2012-09-02,8.923223353436287,No holiday
2012-09-03,8.237198346219971,No holiday
2012-09-04,8.193290770791071,Easter Monday
2012-09-05,7.990741199838946,No holiday
2012-09-06,7.909612052363768,No holiday
2012-09-07,7.911799530768395,No holiday
2012-09-08,8.22577762625467,No holiday
2012-09-09,8.573324045039064,No holiday
2012-09-10,8.224342823141104,No holiday
2012-09-11,8.021206486431797,No holiday
2012-09-12,7.982804947726467,No holiday
2012-09-13,7.967033563269243,No holiday
2012-09-14,8.137381503744422,No holiday
2012-09-15,8.305605747886197,No holiday
2012-09-16,8.936289260048094,No holiday
2012-09-17,8.315952371365709,No holiday
2012-09-18,8.339709336430005,No holiday
2012-09-19,8.36785714966597,No holiday
2012-09-20,8.46546524442059,No holiday
2012-09-21,8.5889690473246,No holiday
2012-09-22,8.903373292685757,No holiday
2012-09-23,10.275526297425245,No holiday
2012-09-24,9.215804346287753,No holiday
2012-09-25,8.964867604305669,No holiday
2012-09-26,9.123657194555072,No holiday
2012-09-27,9.039276974441997,No holiday
2012-09-28,9.192184010322542,No holiday
2012-09-29,9.401864487090116,No holiday
2012-09-30,10.052769518376923,No holiday
2012-10-01,9.349046593702216,No holiday
2012-10-02,9.254227434513163,No holiday
2012-10-03,9.1551995945053,No holiday
2012-10-04,9.12447233413601,No holiday
2012-10-05,9.55117844389269,No holiday
2012-10-06,9.632396015464296,No holiday
2012-10-07,10.26426569397639,No holiday
2012-10-08,9.9256570847062,No holiday
2012-10-09,9.425503382577784,No holiday
2012-10-10,9.442709967886532,No holiday
2012-10-11,9.826748020458927,No holiday
2012-10-12,9.53070729068057,No holiday
2012-10-13,9.984081075627133,No holiday
2012-10-14,10.612904994418813,No holiday
2012-10-15,10.011246236885963,No holiday
2012-10-16,9.721277748091248,No holiday
2012-10-17,9.607900098769424,No holiday
2012-10-18,9.515854064572542,No holiday
2012-10-19,10.151450001462573,No holiday
2012-10-20,10.241257634574152,No holiday
2012-10-21,11.152345498797974,No holiday
2012-10-22,10.140076179185987,No holiday
2012-10-23,10.00335968550896,No holiday
2012-10-24,9.79171640814081,No holiday
2012-10-25,10.151035651174078,No holiday
2012-10-26,10.72829013438006,No holiday
2012-10-27,11.312378841468604,No holiday
2012-10-28,12.130139221052318,No holiday
2012-10-29,10.821561569239332,No holiday
2012-10-30,10.633927085293324,No holiday
2012-10-31,10.53481997240187,No holiday
2012-11-01,10.451467930091484,No holiday
2012-11-02,10.770090681625303,No holiday
2012-11-03,11.223776949762136,No holiday
2012-11-04,12.437501287605263,No holiday
2012-11-05,11.144649515599111,No holiday
2012-11-06,11.233894032327296,No holiday
2012-11-07,10.976344396566647,No holiday
2012-11-08,10.654929022578216,No holiday
2012-11-09,10.824495023651894,No holiday
2012-11-10,11.323659758556149,No holiday
2012-11-11,12.008937972559693,No holiday
2012-11-12,11.062260402178511,No holiday
2012-11-13,10.417987102592662,No holiday
2012-11-14,10.4580234005901,No holiday
2012-11-15,10.753788003413316,No holiday
2012-11-16,10.96779736152267,No holiday
2012-11-17,11.330392342119485,No holiday
2012-11-18,11.891106906467227,No holiday
2012-11-19,10.971640926042738,No holiday
2012-11-20,10.792363040744794,No holiday
2012-11-21,10.914044456237855,No holiday
2012-11-22,10.655229256824558,No holiday
2012-11-23,10.865757480764936,No holiday
2012-11-24,11.830166327071948,No holiday
2012-11-25,11.96007301028914,No holiday
2012-11-26,11.066668739480846,No holiday
2012-11-27,11.289142278385487,No holiday
2012-11-28,11.524316139230743,No holiday
2012-11-29,11.839311810051184,No holiday
2012-11-30,12.056382152472596,No holiday
2012-12-01,12.943344199851463,No holiday
2012-12-02,13.549184452134115,No holiday
2012-12-03,12.00228118769655,No holiday
2012-12-04,11.91489822559587,No holiday
2012-12-05,12.334282501517174,No holiday
2012-12-06,12.633801306634826,No holiday
2012-12-07,12.566462905960847,No holiday
2012-12-08,12.453785382205387,No holiday
2012-12-09,13.173184633810502,No holiday
2012-12-10,12.069548047806723,No holiday
2012-12-11,12.487771931348258,No holiday
2012-12-12,13.08657581505365,No holiday
2012-12-13,12.941591538828847,No holiday
2012-12-14,12.812502678181067,No holiday
2012-12-15,12.303586484994442,No holiday
2012-12-16,12.781018996664535,No holiday
2012-12-17,11.789947078148144,No holiday
2012-12-18,11.790349520818872,No holiday
2012-12-19,12.275039607211976,No holiday
2012-12-20,12.066975292697654,No holiday
2012-12-21,11.817793980878712,No holiday
2012-12-22,12.587651321608474,No holiday
2012-12-23,12.329612775463522,No holiday
2012-12-24,12.358256605588528,No holiday
2012-12-25,12.83006155864262,Christmas Day
2012-12-26,11.918362764769116,Boxing Day
2012-12-27,12.082778255140372,No holiday
2012-12-28,12.032475613516151,No holiday
2012-12-29,11.917439611564715,No holiday
2012-12-30,12.225531866872752,No holiday
2012-12-31,11.951282431347694,No holiday
2013-01-01,11.932902077531857,New Years Day
2013-01-02,11.8750205226215,No holiday
2013-01-03,11.285398122755185,No holiday
2013-01-04,11.358826808761885,Easter Monday
2013-01-05,11.674394125860603,No holiday
2013-01-06,12.441389123499205,No holiday
2013-01-07,11.42964297780872,No holiday
2013-01-08,11.08317708351467,No holiday
2013-01-09,11.16597816990214,No holiday
2013-01-10,11.818485178647794,No holiday
2013-01-11,11.920208092882037,No holiday
2013-01-12,12.861757259206335,No holiday
2013-01-13,13.467195188563323,No holiday
2013-01-14,12.778643440325,No holiday
2013-01-15,12.745812697438176,No holiday
2013-01-16,12.932469911413609,No holiday
2013-01-17,12.955222812815329,No holiday
2013-01-18,13.817628113294084,No holiday
2013-01-19,14.458945287823944,No holiday
2013-01-20,14.788237230172497,No holiday
2013-01-21,13.216359596439023,No holiday
2013-01-22,13.253237669423804,No holiday
2013-01-23,13.03524598643648,No holiday
2013-01-24,12.978911045246848,No holiday
2013-01-25,13.098131699102948,No holiday
2013-01-26,12.66075632761113,No holiday
2013-01-27,12.837496626611092,No holiday
2013-01-28,12.093836486890323,No holiday
2013-01-29,11.412844748315797,No holiday
2013-01-30,10.96141790822674,No holiday
2013-01-31,11.067118647089744,No holiday
2013-02-01,11.420162944712578,No holiday
2013-02-02,12.324085974397812,No holiday
2013-02-03,13.123848878869266,No holiday
2013-02-04,11.3574903975477,No holiday
2013-02-05,11.841947626731764,No holiday
2013-02-06,12.141826279766365,No holiday
2013-02-07,12.111723499167844,No holiday
2013-02-08,11.972455829163009,No holiday
2013-02-09,12.6550312429493,No holiday
2013-02-10,13.571871710319114,No holiday
2013-02-11,12.771690075804504,No holiday
2013-02-12,12.516065006720222,No holiday
2013-02-13,12.504814793288345,No holiday
2013-02-14,11.581528658812648,No holiday
2013-02-15,11.330709403668886,No holiday
2013-02-16,11.628625214769029,No holiday
2013-02-17,11.995266701729362,No holiday
2013-02-18,11.391041728694,No holiday
2013-02-19,11.25295358689955,No holiday
2013-02-20,11.645772021022896,No holiday
2013-02-21,12.587857412713396,No holiday
2013-02-22,12.675808153186695,No holiday
2013-02-23,13.159742751137951,No holiday
